# Time,Isd_mean,Isd_std,Isd_rms,Isd_minTime,Ig_mean,Ig_std,Ig_rms,Ig_min
2.999405899999999860e+02,-3.529007999999998218e-07,5.916593560487329606e-09,3.529503941349264661e-07,-3.748600000000000096e-07,-3.891616000000000223e-09,1.766843205817652918e-09,4.273922086959470253e-09,-6.590899999999999646e-09
3.999246499999999855e+02,-3.523313999999998696e-07,7.181260755605565926e-09,3.524045770588116537e-07,-3.736199999999999799e-07,-3.568027999999999913e-09,1.657039236233107403e-09,3.934031372421933148e-09,-6.463599999999999889e-09
4.999246600000000171e+02,-3.538643999999998874e-07,6.896913268992188585e-09,3.539316049747463403e-07,-3.725800000000000183e-07,-3.454839000000000130e-09,1.686842448831247451e-09,3.844652125108330272e-09,-6.190900000000000200e-09
5.999247000000000298e+02,-3.493099999999998370e-07,3.627279421274329441e-09,3.493288325575201202e-07,-3.609799999999999938e-07,-3.592213000000000487e-09,1.598232758433827046e-09,3.931709830023064825e-09,-5.899799999999999830e-09
6.999247000000000298e+02,-3.623161999999999049e-07,9.569003164384467069e-09,3.624425397273337521e-07,-3.790799999999999772e-07,-3.503927000000000612e-09,1.638144425247969573e-09,3.867947980428382533e-09,-5.868600000000000186e-09
7.999246900000000551e+02,-3.570761999999998394e-07,7.474770201150037776e-09,3.571544270984189918e-07,-3.814000000000000139e-07,-3.367877999999999937e-09,1.834671960628384170e-09,3.835182319786113407e-09,-7.684299999999999200e-09
8.999246600000000171e+02,-3.531683999999999452e-07,5.379786746702908420e-09,3.532093725596758248e-07,-3.701999999999990136e-07,6.705999999999997315e-11,1.803597445773307320e-09,1.804843702374252464e-09,-4.203900000000000341e-09
9.999246500000000424e+02,-3.485259999999999010e-07,6.105467385876441952e-09,3.485794735895960857e-07,-3.627399999999999778e-07,-2.685497999999999653e-09,2.828502628811930241e-09,3.900298274388767844e-09,-6.613400000000000344e-09
1.099924659999999903e+03,-3.412567999999999062e-07,6.005098313932932372e-09,3.413096317890837326e-07,-3.537199999999990143e-07,-2.619434999999999858e-09,3.065124452689482668e-09,4.031926044671454422e-09,-6.868300000000000363e-09
1.199924690000000055e+03,-3.499919999999998692e-07,6.918787755091257747e-09,3.500603800603545398e-07,-3.662200000000000063e-07,-2.485830000000000607e-10,2.803892362379661817e-09,2.814890031191271930e-09,-6.856799999999999731e-09
1.299924700000000030e+03,-3.763679999999998666e-07,6.354852004570952552e-09,3.764216459875812995e-07,-3.917799999999999784e-07,-2.651489999999999909e-09,2.533958603509536440e-09,3.667607588660488253e-09,-6.927100000000000202e-09
1.399924690000000055e+03,-3.726291999999999258e-07,4.200894590441407079e-09,3.726528789745222610e-07,-3.814799999999999987e-07,-1.551139999999999671e-09,3.187150782344631722e-09,3.544568437623965434e-09,-6.675900000000000077e-09
1.499924690000000055e+03,-3.732537999999998453e-07,3.123894614099558934e-09,3.732668722670147376e-07,-3.829400000000000131e-07,-2.925581999999999958e-09,2.804677433124172877e-09,4.052807118849846903e-09,-6.623099999999999597e-09
1.599924690000000055e+03,-3.679825999999998927e-07,2.861768201654338455e-09,3.679937276911114617e-07,-3.748399999999999869e-07,-1.277598999999999902e-09,3.108109201894135745e-09,3.360446698833355729e-09,-6.623600000000000164e-09
1.699924690000000055e+03,-3.693351999999999494e-07,3.249087404179856953e-09,3.693494910352522557e-07,-3.792199999999999771e-07,-1.346224999999999867e-09,3.082492762988260338e-09,3.363641387618483703e-09,-6.336700000000000255e-09
1.799924690000000055e+03,-3.696945999999998752e-07,3.243039136365776081e-09,3.697088240385938011e-07,-3.788599999999999924e-07,-1.670842000000000009e-09,2.977726860851411096e-09,3.414464855112731101e-09,-6.341999999999999813e-09
1.899924690000000055e+03,-3.673247999999998721e-07,3.940516839197646739e-09,3.673459355539406366e-07,-3.769600000000000085e-07,-2.909695000000000053e-09,2.799415666719574346e-09,4.037703935171572643e-09,-6.216899999999999904e-09
